"000090 - מענקים מחו""ל","8640000","8640000","7983364","-656636","92.400078125","-656636","92.400078125"," "," "," "," "," "," "
"0000950101 - העברה לחלק א'","-45677403","-45677403","","45677403","0","45677403","0"," "," "," "," "," "," "
"00009501 - העברה לחלק א'","-45677403","-45677403","","45677403","0","45677403","0"," "," "," "," "," "," "
"000095 - העברה לחלק א'","-45677403","-45677403","","45677403","0","45677403","0"," "," "," "," "," "," "
"0000 - הכנסות המדינה","316553346","316553346","316038232","-515114","99.800078125","-515114","99.800078125"," "," "," "," "," "," "
"0001010101 - משכורת הנשיא","729","729","614","-115","84.200078125","-115","84.200078125"," "," "," "," "," "," "
"0001010102 - קרן לרשות הנשיא","120","1620","958","838","798.300625","-662","59.1000390625"," "," "," "," "," "," "
"0001010104 - השתתפות האפוטרופוס","","-1500","-1500","-1500","","0","100"," "," "," "," "," "," "
"00010101 - נשיא","849","849","72","-777","8.5","-777","8.5"," "," "," "," "," "," "
"0001010201 - שיא כח אדם","5178","7378","7393","2215","142.800078125","15","100.200078125"," "," "," "," "," "," "
"0001010202 - שעות נוספות","909","949","909","0","100","-40","95.800078125"," "," "," "," "," "," "
"0001010203 - כוננות","174","219","214","40","123","-5","97.700078125"," "," "," "," "," "," "
"0001010204 - עלויות פרישה","105","575","575","470","547.6003125","0","100"," "," "," "," "," "," "
"00010102 - לשכת הנשיא","6366","9121","9091","2725","142.800078125","-30","99.700078125"," "," "," "," "," "," "
"0001010301 - שיא כח אדם","210","240","245","35","116.700078125","5","102.100078125"," "," "," "," "," "," "
"0001010302 - שעות נוספות","84","114","112","28","133.300078125","-2","98.200078125"," "," "," "," "," "," "
"0001010303 - השתתפות באחזקת רכב","46","36","35","-11","76.1000390625","-1","97.200078125"," "," "," "," "," "," "
"0001010305 - שכר דירה ואחזקת בית","133","133","76","-57","57.1000390625","-57","57.1000390625"," "," "," "," "," "," "
"0001010306 - קנית שרותי מזכירות","363","422","183","-180","50.4000390625","-239","43.4000390625"," "," "," "," "," "," "
"0001010307 - אחזקת רכב","51","51","51","0","100","0","100"," "," "," "," "," "," "
"0001010308 - דלק לרכב ממשלתי","17","17","11","-6","64.7000390625","-6","64.7000390625"," "," "," "," "," "," "
"0001010309 - אחזקת  - פלאפון","8","15","1","-7","12.5","-14","6.7000048828125"," "," "," "," "," "," "
"00010103 - לשכת הנשיא לשעבר קציר","912","1028","715","-197","78.4000390625","-313","69.6000390625"," "," "," "," "," "," "
"0001010401 - שיא כח אדם","524","624","622","98","118.700078125","-2","99.700078125"," "," "," "," "," "," "
"0001010402 - שעות נוספות","153","217","215","62","140.5","-2","99.100078125"," "," "," "," "," "," "
"0001010406 - הוצאות אחזקת הבית","55","59","49","-6","89.100078125","-10","83.100078125"," "," "," "," "," "," "
"0001010408 - השתתפות באחזקת רכב","92","77","77","-15","83.700078125","0","100"," "," "," "," "," "," "
"0001010409 - דלק לרכב ממשלתי","31","33","34","3","109.700078125","1","103"," "," "," "," "," "," "
"0001010411 - אחזקת רכב ממשלתי","51","51","52","1","102","1","102"," "," "," "," "," "," "
"0001010412 - אחזקת פלאפון","11","15","8","-3","72.7000390625","-7","53.3000390625"," "," "," "," "," "," "
"0001010415 - שכר דירה ללשכה","160","160","160","0","100","0","100"," "," "," "," "," "," "
"0001010416 - הוצאות אחזקה ושונות","117","121","104","-13","88.900078125","-17","86"," "," "," "," "," "," "
"00010104 - לשכת הנשיא לשעבר נבון","1194","1357","1321","127","110.600078125","-36","97.300078125"," "," "," "," "," "," "
"0001010501 - שיא כח אדם","147","214","192","45","130.600078125","-22","89.700078125"," "," "," "," "," "," "
"0001010502 - שעות נוספות","63","69","66","3","104.800078125","-3","95.700078125"," "," "," "," "," "," "
"0001010503 - השתתפות באחזקת רכב","46","36","34","-12","73.9000390625","-2","94.400078125"," "," "," "," "," "," "
"0001010504 - השתתפות באחזקת הבית","148","148","140","-8","94.600078125","-8","94.600078125"," "," "," "," "," "," "
"0001010505 - דלק לרכב ממשלתי","20","21","19","-1","95","-2","90.5"," "," "," "," "," "," "
"0001010506 - אחזקת רכב ממשלתי","51","51","51","0","100","0","100"," "," "," "," "," "," "
"0001010507 - אחזקת פלאפון","8","19","3","-5","37.5","-16","15.800009765625"," "," "," "," "," "," "
"0001010509 - הוצאות אחזקה ושונות","41","41","38","-3","92.700078125","-3","92.700078125"," "," "," "," "," "," "
"00010105 - לשכת אשת הנשיא לשעבר","524","599","542","18","103.400078125","-57","90.5"," "," "," "," "," "," "
"0001010601 - שיא כח אדם","157","217","214","57","136.300078125","-3","98.600078125"," "," "," "," "," "," "
"0001010602 - שעות נוספות","74","14","14","-60","18.900009765625","0","100"," "," "," "," "," "," "
"0001010603 - הוצאות אחזקת בית","150","150","105","-45","70","-45","70"," "," "," "," "," "," "
"0001010604 - החזר הוצאות רכב","43","5","5","-38","11.600009765625","0","100"," "," "," "," "," "," "
"0001010605 - דלק לרכב ממשלתי","41","43","39","-2","95.100078125","-4","90.700078125"," "," "," "," "," "," "
"0001010606 - אחזקת רכב ממשלתי","51","51","51","0","100","0","100"," "," "," "," "," "," "
"0001010607 - אחזקת טלפונים ניידים","16","28","1","-15","6.2000048828125","-27","3.60000244140625"," "," "," "," "," "," "
"0001010609 - הוצאות ארגוניות","30","30","0","-30","0","-30","0"," "," "," "," "," "," "
"00010106 - לשכת אשת הנשיא לשעבר","562","538","429","-133","76.3000390625","-109","79.7000390625"," "," "," "," "," "," "
"0001010701 - שיא כח אדם","524","493","504","-20","96.200078125","11","102.200078125"," "," "," "," "," "," "
"0001010702 - שעות נוספות","153","153","152","-1","99.300078125","-1","99.300078125"," "," "," "," "," "," "
"0001010703 - הוצאות אחזקת בית","55","76","65","10","118.200078125","-11","85.5"," "," "," "," "," "," "
"0001010704 - החזר הוצאות רכב","92","102","103","11","112","1","101"," "," "," "," "," "," "
"0001010705 - דלק לרכב ממשלתי","31","41","34","3","109.700078125","-7","82.900078125"," "," "," "," "," "," "
"0001010706 - אחזקת רכב ממשלתי","51","76","76","25","149","0","100"," "," "," "," "," "," "
"0001010707 - אחזקת טלפונים ניידים","11","13","6","-5","54.5","-7","46.2000390625"," "," "," "," "," "," "
"0001010708 - שכר דירה ללשכה","160","220","213","53","133.100078125","-7","96.800078125"," "," "," "," "," "," "
"0001010709 - הוצאות ארגוניות","117","229","132","15","112.800078125","-97","57.6000390625"," "," "," "," "," "," "
"00010107 - לשכת הנשיא לשעבר - משה","1194","1403","1285","91","107.600078125","-118","91.600078125"," "," "," "," "," "," "
"0001010905 - העסקת סטונטים","179","179","152","-27","84.900078125","-27","84.900078125"," "," "," "," "," "," "
"0001010906 - עבודה בלתי צמיתה -","277","242","236","-41","85.200078125","-6","97.5"," "," "," "," "," "," "
"0001010907 - העסקת מאבטחים","4240","4375","4392","152","103.600078125","17","100.400078125"," "," "," "," "," "," "
"0001010908 - עבודה בלתי צמיתה","2985","4485","4327","1342","145","-158","96.5"," "," "," "," "," "," "
"0001010909 - שרותי כח אדם וייעוץ","1040","1252","976","-64","93.800078125","-276","78"," "," "," "," "," "," "
"0001010910 - תפעול","4014","6704","4625","611","115.200078125","-2079","69"," "," "," "," "," "," "
"0001010912 - ייעוץ","","2","","0","","-2","0"," "," "," "," "," "," "
"0001010913 - מבקר כספים - חשבות","60","98","22","-38","36.70001953125","-76","22.40001953125"," "," "," "," "," "," "
"0001010915 - אמצעי בטחון","1400","2203","1877","477","134.100078125","-326","85.200078125"," "," "," "," "," "," "
"0001010927 - שכ""ד-השתתפות באוצר","5","545","461","456","9220","-84","84.600078125"," "," "," "," "," "," "
"0001010928 - שכר דירה וארנונה","602","922","922","320","153.200078125","0","100"," "," "," "," "," "," "
"0001010930 - אחזקה","2098","2868","2280","182","108.700078125","-588","79.5"," "," "," "," "," "," "
"0001010931 - השתתפות גורמי חוץ","-785","-785","-337","448","42.9000390625","448","42.9000390625"," "," "," "," "," "," "
"0001010934 - השתלמויות ורווחת","350","398","151","-199","43.1000390625","-247","37.90001953125"," "," "," "," "," "," "
